Problem,Correct Confidence,Time
Basic Problem B-01,1.0,0.418901443481
Basic Problem B-02,1.0,0.447034835815
Basic Problem B-03,0.625,0.362873077393
Basic Problem B-04,0.0,0.359058380127
Basic Problem B-05,0.111821086262,0.411033630371
Basic Problem B-06,0.417218543046,0.464916229248
Basic Problem B-07,0.140845070423,0.375986099243
Basic Problem B-08,0.666666666667,0.34499168396
Basic Problem B-09,0.495867768595,0.547170639038
Basic Problem B-10,0.427480916031,0.80394744873
Basic Problem B-11,0.48275862069,0.841856002808
Basic Problem B-12,0.380952380952,0.870943069458
