RHC,100,0.00,14.00
SA,100,0.00,8.00
GA,100,0.08,25.00
MIMIC,100,2.02,54.00
RHC,1000,0.04,69.00
SA,1000,0.02,63.00
GA,1000,0.16,30.00
MIMIC,1000,11.95,86.00
RHC,1100,0.05,67.00
SA,1100,0.03,70.00
GA,1100,0.18,31.00
MIMIC,1100,12.63,95.00
RHC,1200,0.01,79.00
SA,1200,0.05,70.00
GA,1200,0.20,35.00
MIMIC,1200,13.33,92.00
RHC,1300,0.06,75.00
SA,1300,0.03,75.00
GA,1300,0.23,27.00
MIMIC,1300,13.80,89.00
RHC,1400,0.03,77.00
SA,1400,0.00,75.00
GA,1400,0.22,26.00
MIMIC,1400,14.40,92.00
RHC,1500,0.03,87.00
SA,1500,0.00,69.00
GA,1500,0.22,27.00
MIMIC,1500,18.37,97.00
RHC,1600,0.02,79.00
SA,1600,0.01,74.00
GA,1600,0.25,32.00
MIMIC,1600,19.36,94.00
RHC,1700,0.07,81.00
SA,1700,0.01,81.00
GA,1700,0.22,29.00
MIMIC,1700,20.23,93.00
RHC,1800,0.02,84.00
SA,1800,0.01,83.00
GA,1800,0.28,29.00
MIMIC,1800,21.07,98.00
RHC,1900,0.02,88.00
SA,1900,0.01,78.00
GA,1900,0.24,34.00
MIMIC,1900,21.82,93.00
RHC,200,0.05,27.00
SA,200,0.01,24.00
GA,200,0.07,31.00
MIMIC,200,3.08,64.00
RHC,2000,0.02,87.00
SA,2000,0.02,92.00
GA,2000,0.25,32.00
MIMIC,2000,22.14,95.00
RHC,2100,0.02,92.00
SA,2100,0.01,85.00
GA,2100,0.27,36.00
MIMIC,2100,22.69,96.00
RHC,2200,0.02,93.00
SA,2200,0.04,91.00
GA,2200,0.26,28.00
MIMIC,2200,26.08,97.00
RHC,2300,0.02,88.00
SA,2300,0.01,91.00
GA,2300,0.26,32.00
MIMIC,2300,27.40,95.00
RHC,2400,0.06,94.00
SA,2400,0.04,93.00
GA,2400,0.27,27.00
MIMIC,2400,28.22,95.00
RHC,2500,0.03,96.00
SA,2500,0.01,96.00
GA,2500,0.27,28.00
MIMIC,2500,29.04,97.00
RHC,2600,0.03,98.00
SA,2600,0.01,90.00
GA,2600,0.31,31.00
MIMIC,2600,29.54,95.00
RHC,2700,0.06,96.00
SA,2700,0.01,84.00
GA,2700,0.31,26.00
MIMIC,2700,30.28,99.00
RHC,2800,0.04,88.00
SA,2800,0.01,96.00
GA,2800,0.33,33.00
MIMIC,2800,30.71,100.00
RHC,2900,0.06,99.00
SA,2900,0.01,97.00
GA,2900,0.30,31.00
MIMIC,2900,33.84,97.00
RHC,300,0.04,32.00
SA,300,0.00,29.00
GA,300,0.12,23.00
MIMIC,300,3.92,73.00
RHC,3000,0.05,97.00
SA,3000,0.01,95.00
GA,3000,0.30,30.00
MIMIC,3000,34.74,97.00
RHC,3100,0.07,98.00
SA,3100,0.02,95.00
GA,3100,0.30,30.00
MIMIC,3100,35.77,97.00
RHC,3200,0.02,95.00
SA,3200,0.02,96.00
GA,3200,0.32,30.00
MIMIC,3200,36.47,97.00
RHC,3300,0.08,99.00
SA,3300,0.01,97.00
GA,3300,0.32,34.00
MIMIC,3300,37.49,97.00
RHC,3400,0.04,99.00
SA,3400,0.02,95.00
GA,3400,0.34,27.00
MIMIC,3400,37.80,99.00
RHC,3500,0.07,96.00
SA,3500,0.02,98.00
GA,3500,0.31,27.00
MIMIC,3500,38.45,96.00
RHC,3600,0.04,98.00
SA,3600,0.01,98.00
GA,3600,0.33,26.00
MIMIC,3600,42.06,95.00
RHC,3700,0.03,96.00
SA,3700,0.02,99.00
GA,3700,0.33,29.00
MIMIC,3700,42.49,100.00
RHC,3800,0.03,97.00
SA,3800,0.08,98.00
GA,3800,0.33,31.00
MIMIC,3800,43.52,100.00
RHC,3900,0.07,97.00
SA,3900,0.01,98.00
GA,3900,0.34,31.00
MIMIC,3900,44.43,99.00
RHC,400,0.05,37.00
SA,400,0.00,35.00
GA,400,0.12,31.00
MIMIC,400,4.58,72.00
RHC,4000,0.06,98.00
SA,4000,0.01,100.00
GA,4000,0.35,27.00
MIMIC,4000,45.02,100.00
RHC,4100,0.03,99.00
SA,4100,0.05,99.00
GA,4100,0.37,32.00
MIMIC,4100,45.65,99.00
RHC,4200,0.04,100.00
SA,4200,0.02,98.00
GA,4200,0.48,25.00
MIMIC,4200,46.17,99.00
RHC,4300,0.04,99.00
SA,4300,0.02,96.00
GA,4300,0.34,28.00
MIMIC,4300,49.22,100.00
RHC,4400,0.05,99.00
SA,4400,0.02,97.00
GA,4400,0.36,31.00
MIMIC,4400,50.70,99.00
RHC,4500,0.09,99.00
SA,4500,0.01,99.00
GA,4500,0.35,26.00
MIMIC,4500,50.94,100.00
RHC,4600,0.09,97.00
SA,4600,0.02,98.00
GA,4600,0.36,29.00
MIMIC,4600,51.90,100.00
RHC,4700,0.04,100.00
SA,4700,0.04,98.00
GA,4700,0.37,35.00
MIMIC,4700,52.85,100.00
RHC,4800,0.03,100.00
SA,4800,0.03,99.00
GA,4800,0.47,33.00
MIMIC,4800,53.11,100.00
RHC,4900,0.03,100.00
SA,4900,0.02,97.00
GA,4900,0.50,25.00
MIMIC,4900,53.76,98.00
RHC,500,0.05,49.00
SA,500,0.00,45.00
GA,500,0.14,28.00
MIMIC,500,5.15,74.00
RHC,5000,0.02,100.00
SA,5000,0.01,100.00
GA,5000,0.21,32.00
MIMIC,5000,29.16,100.00
RHC,600,0.05,52.00
SA,600,0.00,53.00
GA,600,0.15,22.00
MIMIC,600,5.70,85.00
RHC,700,0.07,58.00
SA,700,0.02,52.00
GA,700,0.15,28.00
MIMIC,700,6.36,80.00
RHC,800,0.02,57.00
SA,800,0.05,54.00
GA,800,0.15,21.00
MIMIC,800,9.98,85.00
RHC,900,0.05,58.00
SA,900,0.02,68.00
GA,900,0.15,34.00
MIMIC,900,10.95,87.00
